Task name,Assign,Due,Files & media,Status
Creación del repositorio,"Fabian Camilo Pertuz Torres, Carlos Mario Villamizar Medina","September 23, 2025 → September 26, 2025",image_2025-09-23_081957703.png,Done
implementacion de gestion de clientes,"Fabian Camilo Pertuz Torres, Carlos Mario Villamizar Medina","September 23, 2025 → September 26, 2025","image_2025-09-26_061214748.png, image_2025-09-26_061248366.png, image_2025-09-26_061331511.png",Done
Implementacion de metodología Kanban,"Fabian Camilo Pertuz Torres, Carlos Mario Villamizar Medina","September 23, 2025 → September 23, 2025",,Done
Implementacion de gestion de planes de entrenamiento,"Fabian Camilo Pertuz Torres, Carlos Mario Villamizar Medina","September 23, 2025 → September 26, 2025","image_2025-09-26_061616307.png, image_2025-09-26_062020922.png",Done
Creacion de requerimientos funcionales y no funcionales,Fabian Camilo Pertuz Torres,"September 23, 2025 → September 23, 2025",,Done
Creación y actualización de la guia.docs,Carlos Mario Villamizar Medina,"September 23, 2025 → September 23, 2025","image_2025-09-23_080545584.png, image_2025-09-23_080611218.png, image_2025-09-23_080627053.png, image_2025-09-23_080643735.png, image_2025-09-23_080703147.png, image_2025-09-23_081008491.png, image_2025-09-23_081145530.png, image_2025-09-23_081201283.png, image_2025-09-23_081221467.png, image_2025-09-23_081235934.png, image_2025-09-23_081251810.png, image_2025-09-23_081313065.png, image_2025-09-23_081326858.png, image_2025-09-23_081341632.png, image_2025-09-23_081359688.png, image_2025-09-23_081413627.png, image_2025-09-23_081429429.png, image_2025-09-23_081449463.png",Done
Implementacion de seguimiento fisico,"Fabian Camilo Pertuz Torres, Carlos Mario Villamizar Medina","September 23, 2025 → September 26, 2025","image_2025-09-26_062101096.png, image_2025-09-26_062133469.png, image_2025-09-26_062208578.png, image_2025-09-26_062254207.png, image_2025-09-26_062314871.png, image_2025-09-26_062346346.png, image_2025-09-26_062412106.png",Done
implementacion de Nutricion,"Fabian Camilo Pertuz Torres, Carlos Mario Villamizar Medina","September 23, 2025 → September 26, 2025","image_2025-09-26_062451063.png, image_2025-09-26_062512232.png, image_2025-09-26_062528142.png, image_2025-09-26_062540708.png",Done
Implementacion de  Contratos,"Fabian Camilo Pertuz Torres, Carlos Mario Villamizar Medina","September 23, 2025 → September 26, 2025","image_2025-09-26_062626751.png, image_2025-09-26_062643366.png, image_2025-09-26_062900890.png, image_2025-09-26_062919507.png",Done
Implementacion de Gestion financiera,"Fabian Camilo Pertuz Torres, Carlos Mario Villamizar Medina","September 23, 2025 → September 26, 2025",image_2025-09-26_063045893.png,Done
Reunion sobre creacion y implementacion del codigo,"Fabian Camilo Pertuz Torres, Carlos Mario Villamizar Medina","September 23, 2025 → September 24, 2025",,Done
implementacion del README,"Fabian Camilo Pertuz Torres, Carlos Mario Villamizar Medina","September 24, 2025 → September 26, 2025",image_2025-09-26_063122243.png,Done
